,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
145,"Plug Walk","Rich The Kid",2143505,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
146,"Run Rudolph Run - Single Version","Chuck Berry",2114757,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ
147,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",2110077,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
148,"Cat Piss (feat. Lil Yachty)","Ski Mask The Slump God",2105813,https://open.spotify.com/track/3clpchqQ6A3p8jjPgKdhk0
149,"Far Gone (feat. Lil Baby)","Ski Mask The Slump God",2099032,https://open.spotify.com/track/6RiMRVxOiEYd4QSu1cxrls
150,"Realist In It (feat. Gucci Mane & Offset)","Lil Baby",2098191,https://open.spotify.com/track/2WqTKOAUmv7hz9ZzGnXHrY
151,goosebumps,"Travis Scott",2094541,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
152,"Oodles O' Noodles Babies","Meek Mill",2092845,https://open.spotify.com/track/0jqLv5PuEUA0GthFjdtlS1
153,"My Own Thing","Chance the Rapper",2082275,https://open.spotify.com/track/2ySRRtrAwDUF4FipiF1Djt
154,"Love Lies (with Normani)",Khalid,2076306,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
155,"Santa Baby (with Henri René & His Orchestra)","Eartha Kitt",2073424,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO
156,"Sleigh Ride","The Ronettes",2037879,https://open.spotify.com/track/4rERoP56GEEjKmshbphPBK
157,Congratulations,"Post Malone",2031944,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
158,"REEL IT IN",Aminé,2025402,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
159,"Winter Wonderland","Bing Crosby",2020742,https://open.spotify.com/track/5VEuraNSVxMTzDTtrmL3lQ
160,"Close Friends (Lil Baby & Gunna)","Lil Baby",2006875,https://open.spotify.com/track/5nzhL67GpF9szXWg5y509A
161,Speechless,"Dan + Shay",1991165,https://open.spotify.com/track/3GJ4hzg4lrGwU51Y3VARbF
162,"Look At Me!",XXXTENTACION,1966710,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
163,"So High","Ski Mask The Slump God",1957434,https://open.spotify.com/track/3nTDO6k4R6i3FpKx0QNgJ5
164,"Be Alright","Dean Lewis",1951304,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
165,Lust,"Lil Skies",1950738,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S
166,"This Week","Lil Baby",1944239,https://open.spotify.com/track/3yIZgYN7AKO3cDueyhpuCS
167,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,1939838,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
168,Hope,XXXTENTACION,1936387,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
169,"SLOW DANCING IN THE DARK",Joji,1930170,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
170,Kamikaze,"Lil Mosey",1928503,https://open.spotify.com/track/1iPBD72u3nAyFEeardYuBV
171,Walk,Comethazine,1921815,https://open.spotify.com/track/21kOVEG3bDCVphKhXL8XmQ
172,"you should see me in a crown","Billie Eilish",1915601,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
173,"Taking A Walk","Trippie Redd",1908218,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
174,Hallelujah,Pentatonix,1896092,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx
175,"Woman Like Me (feat. Nicki Minaj)","Little Mix",1885661,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
176,"Carol of the Bells","Mykola Dmytrovych Leontovych",1877702,https://open.spotify.com/track/4tHqQMWSqmL6YjXwsqthDI
177,HUMBLE.,"Kendrick Lamar",1871397,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
178,"I Like Me Better",Lauv,1870465,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
179,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",1865187,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
180,"Santa Claus Is Coming to Town","Michael Bublé",1863049,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7
181,"Mona Lisa (feat. Kendrick Lamar)","Lil Wayne",1862275,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8
182,Mine,Bazzi,1848629,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
183,"Sweet but Psycho","Ava Max",1833568,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
184,"Te Boté - Remix","Nio Garcia",1817795,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
185,"Better To Lie (with Jesse & Swae Lee)","benny blanco",1808602,https://open.spotify.com/track/61sqsOPon94ecMskeEXwev
186,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",1808431,https://open.spotify.com/track/6LKYeyLt4G4SlZ6OJwFhVS
187,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",1806828,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
188,"Christmas (Baby Please Come Home)","Mariah Carey",1797104,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN
189,"Nowadays (feat. Landon Cube)","Lil Skies",1796864,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
190,"Adults Swim","Ski Mask The Slump God",1792606,https://open.spotify.com/track/1Bp5LdIxR3XlprIigqp4en
191,"Reborn To Rebel","Ski Mask The Slump God",1788100,https://open.spotify.com/track/6DZ9UsN80HCp3ppmzxGGTf
192,"Best Part (feat. Daniel Caesar)",H.E.R.,1780278,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
193,"Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",1773123,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV
194,"Merry Christmas, Happy Holidays",*NSYNC,1770897,https://open.spotify.com/track/15coTBAzEN1bOeipoNDZAR
195,"Anyway (feat. 2 Chainz & Gucci Mane)","Lil Baby",1758830,https://open.spotify.com/track/3zxiTHxE4MxwuYf8aLQ9ax
196,"Murder On My Mind","YNW Melly",1758718,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
197,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",1757245,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
198,"Hurts Like Hell (feat. Offset)","Madison Beer",1755062,https://open.spotify.com/track/3WefHNGtjexZvi66ZEx9u4
199,"Young Dumb & Broke",Khalid,1752603,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
200,"Do You Hear What I Hear?","Bing Crosby",1751254,https://open.spotify.com/track/4EZUcj7c8n9pWIwHqN0DoH
